ID,BattingTeam,total_score,city,extras
419120,Delhi Daredevils,161,Cuttack,4
419120,Deccan Chargers,171,Cuttack,2
419121,Kings XI Punjab,146,Chennai,4
419121,Chennai Super Kings,145,Chennai,13
419122,Kolkata Knight Riders,155,Mumbai,15
419122,Mumbai Indians,156,Mumbai,4
419123,Chennai Super Kings,135,Bangalore,11
419123,Royal Challengers Bangalore,171,Bangalore,14
419124,Kings XI Punjab,152,Chandigarh,6
419124,Rajasthan Royals,183,Chandigarh,10
419125,Mumbai Indians,181,Mumbai,14
419125,Chennai Super Kings,180,Mumbai,14
419126,Rajasthan Royals,151,Ahmedabad,11
419126,Deccan Chargers,148,Ahmedabad,11
419127,Kings XI Punjab,144,Chandigarh,6
419127,Kolkata Knight Riders,183,Chandigarh,18
419128,Royal Challengers Bangalore,166,Bangalore,16
419128,Delhi Daredevils,183,Bangalore,8
419129,Chennai Super Kings,160,Ahmedabad,6
419129,Rajasthan Royals,177,Ahmedabad,3
419130,Deccan Chargers,131,Mumbai,11
419130,Mumbai Indians,172,Mumbai,10
419131,Kolkata Knight Riders,137,Delhi,11
419131,Delhi Daredevils,177,Delhi,4
419132,Kings XI Punjab,163,Mumbai,21
419132,Mumbai Indians,164,Mumbai,17
419133,Chennai Super Kings,162,Chennai,10
419133,Royal Challengers Bangalore,161,Chennai,5
419134,Rajasthan Royals,121,Delhi,3
419134,Delhi Daredevils,188,Delhi,13
419135,Kolkata Knight Riders,181,Kolkata,14
419135,Deccan Chargers,157,Kolkata,7
419136,Royal Challengers Bangalore,184,Chandigarh,10
419136,Kings XI Punjab,181,Chandigarh,11
419137,Rajasthan Royals,223,Chennai,15
419137,Chennai Super Kings,246,Chennai,6
419138,Deccan Chargers,115,Mumbai,7
419138,Mumbai Indians,178,Mumbai,7
419139,Kolkata Knight Riders,200,Kolkata,13
419139,Kings XI Punjab,204,Kolkata,5
419140,Royal Challengers Bangalore,147,Delhi,2
419140,Delhi Daredevils,184,Delhi,8
419141,Rajasthan Royals,159,Nagpur,12
419141,Deccan Chargers,157,Nagpur,10
419142,Chennai Super Kings,165,Chennai,18
419142,Mumbai Indians,141,Chennai,14
419143,Rajasthan Royals,157,Jaipur,9
419143,Kings XI Punjab,153,Jaipur,9
419144,Delhi Daredevils,167,Kolkata,9
419144,Kolkata Knight Riders,181,Kolkata,7
419145,Royal Challengers Bangalore,184,Bangalore,15
419145,Deccan Chargers,186,Bangalore,8
419146,Kings XI Punjab,158,Chandigarh,4
419146,Mumbai Indians,154,Chandigarh,4
419147,Chennai Super Kings,138,Nagpur,8
419147,Deccan Chargers,139,Nagpur,8
419148,Kolkata Knight Riders,160,Bangalore,11
419148,Royal Challengers Bangalore,162,Bangalore,11
419149,Delhi Daredevils,111,Delhi,18
419149,Kings XI Punjab,112,Delhi,6
419150,Rajasthan Royals,137,Jaipur,8
419150,Mumbai Indians,174,Jaipur,12
419151,Royal Challengers Bangalore,138,Nagpur,13
419151,Deccan Chargers,151,Nagpur,9
419152,Mumbai Indians,183,Mumbai,10
419152,Delhi Daredevils,144,Mumbai,8
419153,Chennai Super Kings,143,Chennai,15
419153,Kolkata Knight Riders,139,Chennai,20
419154,Rajasthan Royals,130,Jaipur,8
419154,Royal Challengers Bangalore,132,Jaipur,1
419155,Chennai Super Kings,112,Chennai,8
419155,Delhi Daredevils,113,Chennai,13
419156,Deccan Chargers,178,Dharamsala,13
419156,Kings XI Punjab,174,Dharamsala,8
419157,Royal Challengers Bangalore,134,Bangalore,5
419157,Mumbai Indians,191,Bangalore,15
419158,Rajasthan Royals,132,Kolkata,3
419158,Kolkata Knight Riders,133,Kolkata,7
419159,Chennai Super Kings,195,Dharamsala,10
419159,Kings XI Punjab,192,Dharamsala,5
419160,Delhi Daredevils,134,Delhi,5
419160,Deccan Chargers,145,Delhi,3
419161,Mumbai Indians,133,Kolkata,6
419161,Kolkata Knight Riders,135,Kolkata,16
419162,Royal Challengers Bangalore,149,Mumbai,10
419162,Mumbai Indians,184,Mumbai,13
419163,Chennai Super Kings,142,Mumbai,16
419163,Deccan Chargers,104,Mumbai,8
419164,Deccan Chargers,82,Mumbai,4
419164,Royal Challengers Bangalore,86,Mumbai,3
419165,Mumbai Indians,146,Mumbai,12
419165,Chennai Super Kings,168,Mumbai,11
501198,Chennai Super Kings,153,Chennai,3
501198,Kolkata Knight Riders,151,Chennai,8
501199,Rajasthan Royals,141,Hyderabad,5
501199,Deccan Chargers,137,Hyderabad,4
501200,Royal Challengers Bangalore,162,Kochi,13
501200,Kochi Tuskers Kerala,161,Kochi,11
501201,Delhi Daredevils,95,Delhi,4
501201,Mumbai Indians,99,Delhi,11
501202,Kings XI Punjab,112,Mumbai,10
501202,Pune Warriors,113,Mumbai,4
501203,Deccan Chargers,154,Kolkata,9
501203,Kolkata Knight Riders,163,Kolkata,10
501204,Rajasthan Royals,152,Jaipur,12
501204,Delhi Daredevils,151,Jaipur,9
501205,Royal Challengers Bangalore,140,Bangalore,15
501205,Mumbai Indians,143,Bangalore,3
501206,Chennai Super Kings,188,Chandigarh,5
501206,Kings XI Punjab,193,Chandigarh,1
501207,Kochi Tuskers Kerala,148,Mumbai,11
501207,Pune Warriors,151,Mumbai,11
501208,Royal Challengers Bangalore,142,Hyderabad,8
501208,Deccan Chargers,175,Hyderabad,7
501209,Rajasthan Royals,159,Jaipur,19
501209,Kolkata Knight Riders,160,Jaipur,4
501210,Kochi Tuskers Kerala,184,Mumbai,11
501210,Mumbai Indians,182,Mumbai,17
501211,Chennai Super Kings,183,Chennai,4
501211,Royal Challengers Bangalore,162,Chennai,9
501212,Deccan Chargers,165,Hyderabad,5
501212,Kings XI Punjab,166,Hyderabad,14
501213,Delhi Daredevils,190,Mumbai,10
501213,Pune Warriors,187,Mumbai,8
501214,Rajasthan Royals,81,Kolkata,5
501214,Kolkata Knight Riders,85,Kolkata,11
501215,Chennai Super Kings,131,Kochi,3
501215,Kochi Tuskers Kerala,135,Kochi,3
501216,Delhi Daredevils,152,Delhi,13
501216,Deccan Chargers,168,Delhi,5
501218,Pune Warriors,118,Mumbai,12
501218,Mumbai Indians,124,Mumbai,10
501219,Kolkata Knight Riders,126,Kolkata,11
501219,Kochi Tuskers Kerala,132,Kolkata,8
501220,Rajasthan Royals,147,Chandigarh,2
501220,Kings XI Punjab,195,Chandigarh,17
501221,Chennai Super Kings,156,Mumbai,10
501221,Mumbai Indians,164,Mumbai,14
501222,Royal Challengers Bangalore,175,Kolkata,5
501222,Kolkata Knight Riders,171,Kolkata,13
501223,Delhi Daredevils,231,Delhi,16
501223,Kings XI Punjab,202,Delhi,5
501224,Deccan Chargers,135,Hyderabad,12
501224,Mumbai Indians,172,Hyderabad,5
501225,Rajasthan Royals,111,Jaipur,2
501225,Kochi Tuskers Kerala,109,Jaipur,9
501226,Chennai Super Kings,142,Chennai,4
501226,Pune Warriors,117,Chennai,7
501227,Delhi Daredevils,160,Delhi,13
501227,Royal Challengers Bangalore,161,Delhi,18
501228,Chennai Super Kings,145,Mumbai,8
501228,Pune Warriors,141,Mumbai,5
501229,Deccan Chargers,129,Kochi,7
501229,Kochi Tuskers Kerala,74,Kochi,7
501230,Kolkata Knight Riders,148,Delhi,8
501230,Delhi Daredevils,131,Delhi,7
501231,Rajasthan Royals,95,Jaipur,2
501231,Mumbai Indians,94,Jaipur,7
501232,Royal Challengers Bangalore,181,Bangalore,2
501232,Pune Warriors,155,Bangalore,9
501233,Kochi Tuskers Kerala,119,Kochi,8
501233,Delhi Daredevils,157,Kochi,16
501234,Kings XI Punjab,119,Kolkata,6
501234,Kolkata Knight Riders,120,Kolkata,12
501235,Rajasthan Royals,144,Jaipur,11
501235,Pune Warriors,143,Jaipur,5
501236,Chennai Super Kings,165,Chennai,9
501236,Deccan Chargers,146,Chennai,5
501237,Kings XI Punjab,136,Mumbai,12
501237,Mumbai Indians,159,Mumbai,5
501238,Delhi Daredevils,140,Delhi,7
501238,Kochi Tuskers Kerala,141,Delhi,18
501239,Deccan Chargers,149,Hyderabad,4
501239,Kolkata Knight Riders,169,Hyderabad,10
501240,Rajasthan Royals,147,Chennai,7
501240,Chennai Super Kings,149,Chennai,4
501241,Pune Warriors,139,Mumbai,10
501241,Mumbai Indians,160,Mumbai,15
501242,Kolkata Knight Riders,139,Kochi,3
501242,Kochi Tuskers Kerala,156,Kochi,6
501243,Delhi Daredevils,179,Hyderabad,10
501243,Deccan Chargers,175,Hyderabad,10
501244,Royal Challengers Bangalore,205,Bangalore,6
501244,Kings XI Punjab,120,Bangalore,5
501245,Chennai Super Kings,114,Kolkata,6
501245,Kolkata Knight Riders,61,Kolkata,4
501246,Delhi Daredevils,146,Mumbai,9
501246,Mumbai Indians,178,Mumbai,6
501247,Royal Challengers Bangalore,128,Bangalore,5
501247,Kochi Tuskers Kerala,125,Bangalore,10
501248,Kings XI Punjab,119,Chandigarh,4
501248,Pune Warriors,120,Chandigarh,12
501249,Rajasthan Royals,133,Jaipur,5
501249,Chennai Super Kings,196,Jaipur,8
501250,Deccan Chargers,136,Hyderabad,1
501250,Pune Warriors,137,Hyderabad,3
501251,Kings XI Punjab,163,Chandigarh,22
501251,Mumbai Indians,87,Chandigarh,5
501252,Rajasthan Royals,146,Jaipur,11
501252,Royal Challengers Bangalore,151,Jaipur,4
501253,Chennai Super Kings,176,Chennai,4
501253,Delhi Daredevils,158,Chennai,14
501254,Kochi Tuskers Kerala,178,Indore,23
501254,Kings XI Punjab,181,Indore,8
501255,Royal Challengers Bangalore,105,Bangalore,6
501255,Kolkata Knight Riders,89,Bangalore,7
501256,Deccan Chargers,135,Mumbai,7
501256,Mumbai Indians,125,Mumbai,18
501257,Delhi Daredevils,141,Dharamsala,12
501257,Kings XI Punjab,170,Dharamsala,9
501258,Rajasthan Royals,97,Indore,3
501258,Kochi Tuskers Kerala,98,Indore,9
501259,Pune Warriors,136,Mumbai,3
501259,Deccan Chargers,138,Mumbai,9
501260,Royal Challengers Bangalore,121,Dharamsala,9
501260,Kings XI Punjab,232,Dharamsala,27
501261,Chennai Super Kings,152,Chennai,4
501261,Kochi Tuskers Kerala,141,Chennai,9
501262,Pune Warriors,118,Mumbai,12
501262,Kolkata Knight Riders,119,Mumbai,5
501263,Rajasthan Royals,134,Mumbai,2
501263,Mumbai Indians,133,Mumbai,5
501264,Kings XI Punjab,116,Dharamsala,4
501264,Deccan Chargers,198,Dharamsala,16
501265,Delhi Daredevils,56,Delhi,5
501266,Chennai Super Kings,128,Bangalore,10
501266,Royal Challengers Bangalore,129,Bangalore,10
501267,Kolkata Knight Riders,175,Kolkata,6
501267,Mumbai Indians,178,Kolkata,16
501268,Chennai Super Kings,177,Mumbai,8
501268,Royal Challengers Bangalore,175,Mumbai,14
501269,Kolkata Knight Riders,147,Mumbai,6
501269,Mumbai Indians,148,Mumbai,4
501270,Royal Challengers Bangalore,185,Chennai,14
501270,Mumbai Indians,142,Chennai,4
501271,Royal Challengers Bangalore,147,Chennai,6
501271,Chennai Super Kings,205,Chennai,9
548306,Chennai Super Kings,112,Chennai,12
548306,Mumbai Indians,115,Chennai,6
548307,Kolkata Knight Riders,97,Kolkata,7
548307,Delhi Daredevils,100,Kolkata,5
548308,Pune Warriors,129,Mumbai,8
548308,Mumbai Indians,101,Mumbai,5
548309,Rajasthan Royals,191,Jaipur,19
548309,Kings XI Punjab,160,Jaipur,6
548310,Delhi Daredevils,137,Bangalore,4
548310,Royal Challengers Bangalore,157,Bangalore,6
548311,Deccan Chargers,119,Visakhapatnam,4
548311,Chennai Super Kings,193,Visakhapatnam,11
548312,Kolkata Knight Riders,142,Jaipur,7
548312,Rajasthan Royals,164,Jaipur,3
548313,Kings XI Punjab,144,Pune,11
548313,Pune Warriors,166,Pune,12
548314,Mumbai Indians,142,Visakhapatnam,4
548314,Deccan Chargers,138,Visakhapatnam,5
548315,Kolkata Knight Riders,165,Bangalore,6
548315,Royal Challengers Bangalore,123,Bangalore,10
548316,Chennai Super Kings,110,Delhi,6
548316,Delhi Daredevils,111,Delhi,1
548317,Rajasthan Royals,170,Mumbai,4
548317,Mumbai Indians,197,Mumbai,6
548318,Royal Challengers Bangalore,205,Chennai,16
548318,Chennai Super Kings,208,Chennai,5
548319,Pune Warriors,115,Chandigarh,12
548319,Kings XI Punjab,116,Chandigarh,0
548320,Rajasthan Royals,131,Kolkata,10
548320,Kolkata Knight Riders,137,Kolkata,12
548321,Delhi Daredevils,162,Delhi,4
548321,Deccan Chargers,157,Delhi,6
548322,Chennai Super Kings,155,Pune,6
548322,Pune Warriors,156,Pune,5
548323,Kolkata Knight Riders,132,Kolkata,9
548323,Kings XI Punjab,134,Kolkata,7
548324,Royal Challengers Bangalore,136,Bangalore,3
548324,Rajasthan Royals,195,Bangalore,6
548325,Delhi Daredevils,93,Mumbai,11
548325,Mumbai Indians,92,Mumbai,9
548326,Rajasthan Royals,197,Jaipur,6
548326,Deccan Chargers,196,Jaipur,13
548327,Pune Warriors,182,Bangalore,7
548327,Royal Challengers Bangalore,186,Bangalore,7
548328,Kings XI Punjab,124,Chandigarh,3
548328,Kolkata Knight Riders,127,Chandigarh,5
548329,Delhi Daredevils,193,Hyderabad,16
548329,Deccan Chargers,187,Hyderabad,2
548330,Pune Warriors,151,Chennai,15
548330,Chennai Super Kings,164,Chennai,2
548331,Kings XI Punjab,163,Chandigarh,8
548331,Royal Challengers Bangalore,166,Chandigarh,8
548332,Rajasthan Royals,146,Chennai,14
548332,Chennai Super Kings,147,Chennai,2
